sku,name,spoken_name,price,stock,product_group,note,description,keywords
DH-001,Geisha Light Roast 200g (เกอิชา ดอยหอม),เกอิชา,980,6,1,คั่วอ่อน · ดอกไม้ มะลิ พีช · บอดี้เบา,เกอิชาจากไร่ดอยหอม ระดับความสูง 1400 เมตร คั่วอ่อน กระบวนการ Washed — กลิ่นดอกไม้ มะลิ พีช ชาเอิร์ลเกรย์ บอดี้เบา เปรี้ยวสดใส อาฟเตอร์เทสต์หวานยาว เหมาะกับ pour-over และ filter สำหรับคาเฟ่ specialty,"เกอิชา, geisha, ดอยหอม, คั่วอ่อน, light roast, washed, ดอกไม้, มะลิ, พีช, pour-over, ฟิลเตอร์, specialty, พรีเมียม, แพง, สดชื่น"
DH-002,Honey Process Medium 200g (ฮันนี่โปรเซส ดอยหอม),ฮันนี่โปรเซส,420,48,1,คั่วกลาง · โกโก้ น้ำผึ้ง ผลไม้สุก · เข้ากับนม,ฮันนี่โปรเซสจากไร่ดอยหอม คั่วกลาง — รสโกโก้ น้ำผึ้ง ผลไม้สุก บอดี้กลาง เปรี้ยวนุ่ม อาฟเตอร์เทสต์หวาน เหมาะกับเอสเปรสโซ่และเมนูนม,"ฮันนี่, honey, ฮันนี่โปรเซส, ดอยหอม, คั่วกลาง, medium roast, โกโก้, น้ำผึ้ง, เอสเปรสโซ่, ลาเต้, นม, milk-based, ดื่มง่าย"
DH-003,Natural Anaerobic Light 200g (เนเชอรัล ดอยหอม),เนเชอรัล แอนแอโรบิก,520,21,1,คั่วอ่อน · เบอร์รี่ ไวน์แดง · เมนูซิกเนเจอร์,แอนแอโรบิก เนเชอรัล จากไร่ดอยหอม คั่วอ่อน — กลิ่นเบอร์รี่ชัด ไวน์แดง หมักผลไม้ เปรี้ยวสว่าง เหมาะกับเมนูซิกเนเจอร์และกาแฟเย็น specialty,"เนเชอรัล, natural, แอนแอโรบิก, anaerobic, เบอร์รี่, ไวน์, หมัก, คั่วอ่อน, ซิกเนเจอร์, กาแฟเย็น, exotic, สดชื่น"
KBN-001,House Blend Medium 500g (เฮาส์เบลนด์ คั่วบ้านนา),เฮาส์เบลนด์,350,120,2,คั่วกลาง · ช็อกโกแลต คาราเมล · ตัวยืนพื้นของร้าน,เฮาส์เบลนด์จากโรงคั่วคั่วบ้านนา คั่วกลาง — ช็อกโกแลต ถั่ว คาราเมล บอดี้แน่น เปรี้ยวต่ำ สูตรยืนพื้นสำหรับร้านกาแฟทั่วไป ใช้ได้ทั้งร้อนและเย็น,"เฮาส์เบลนด์, house blend, เบลนด์, blend, คั่วบ้านนา, คั่วกลาง, ช็อกโกแลต, คาราเมล, ถั่ว, ร้านกาแฟ, ยืนพื้น, ทั่วไป, ราคาประหยัด, ดื่มง่าย"
KBN-002,Espresso Dark Roast 500g (เอสเปรสโซ่ คั่วบ้านนา),เอสเปรสโซ่คั่วเข้ม,380,84,2,คั่วเข้ม · ดาร์กช็อกโกแลต · ครีมม่าแน่น,เอสเปรสโซ่เบลนด์คั่วเข้มจากคั่วบ้านนา — ดาร์กช็อกโกแลต คาราเมลไหม้ ถั่วคั่ว บอดี้หนัก ครีมม่าแน่น เปรี้ยวต่ำมาก เหมาะกับลาเต้และคาปูชิโน่,"เอสเปรสโซ่, espresso, คั่วเข้ม, dark roast, ดาร์กช็อกโกแลต, ครีมม่า, ลาเต้, คาปูชิโน่, บอดี้หนัก, เข้ม, ขม"
KBN-003,Decaf Medium 250g (ดีแคฟ คั่วบ้านนา),ดีแคฟ,300,37,2,คั่วกลาง · ไม่มีคาเฟอีน · ช็อกโกแลตนม,กาแฟสกัดคาเฟอีนออก คั่วกลาง จากคั่วบ้านนา — ช็อกโกแลตนม คาราเมล บอดี้กลาง เหมาะกับลูกค้าที่เลี่ยงคาเฟอีนและเมนูช่วงเย็น,"ดีแคฟ, decaf, ไม่มีคาเฟอีน, สกัดคาเฟอีน, คาเฟอีนต่ำ, คั่วกลาง, ช็อกโกแลต, เด็ก, คนท้อง"
MM-001,Washed Arabica Light 200g (วอชด์ เมล็ดเมือง),วอชด์ อาราบิก้า,390,62,3,คั่วอ่อน · ส้ม มะนาว ชาเขียว · สะอาด สดชื่น,อาราบิก้า Washed จากห้วยน้ำใส คั่วอ่อน — ส้ม มะนาว ชาเขียว บอดี้เบา สะอาด เปรี้ยวสดใส เหมาะกับ pour-over และ cold brew ใส,"วอชด์, washed, อาราบิก้า, arabica, ห้วยน้ำใส, คั่วอ่อน, ส้ม, มะนาว, ชาเขียว, สะอาด, pour-over, ซิงเกิลออริจิน, สดชื่น, ดื่มง่าย"
MM-002,Peaberry Medium 200g (พีเบอร์รี่ เมล็ดเมือง),พีเบอร์รี่,450,15,3,คั่วกลาง · เชอร์รี่ อัลมอนด์ · ล็อตจำกัด,พีเบอร์รี่คัดพิเศษจากห้วยน้ำใส คั่วกลาง — เชอร์รี่ อัลมอนด์ น้ำตาลอ้อย บอดี้กลางแน่น หวานติดปลายลิ้น ล็อตจำกัด,"พีเบอร์รี่, peaberry, เมล็ดกลม, คัดพิเศษ, ห้วยน้ำใส, คั่วกลาง, เชอร์รี่, อัลมอนด์, ล็อตจำกัด, หายาก"
MM-003,Cold Brew Blend 500g (โคลด์บรูว์ เมล็ดเมือง),โคลด์บรูว์เบลนด์,400,53,2,คั่วกลางค่อนเข้ม · ลูกเกด โกโก้ · สำหรับสกัดเย็น,เบลนด์ออกแบบเฉพาะสำหรับโคลด์บรูว์ คั่วกลางค่อนเข้ม — ลูกเกด กากน้ำตาล โกโก้ บอดี้แน่น หวานธรรมชาติ สกัดเย็น 12-16 ชม.,"โคลด์บรูว์, cold brew, สกัดเย็น, กาแฟเย็น, เบลนด์, ลูกเกด, กากน้ำตาล, โกโก้, ฤดูร้อน, สดชื่น"
MM-004,Single Origin Doi Saeng Ngoen Dark 250g (ดอยแสงเงิน คั่วเข้ม),ดอยแสงเงิน,340,71,3,คั่วเข้ม · โกโก้เข้ม ยาสูบ · บอดี้หนัก,ซิงเกิลออริจินจากดอยแสงเงิน คั่วเข้ม — โกโก้เข้ม ยาสูบ น้ำตาลไหม้ บอดี้หนัก เปรี้ยวต่ำ เหมาะกับโมก้าพ็อตและเมนูกาแฟโบราณ,"ดอยแสงเงิน, ซิงเกิลออริจิน, single origin, คั่วเข้ม, dark, โกโก้, ยาสูบ, โมก้าพ็อต, กาแฟโบราณ, บอดี้หนัก"
